iter	RMSE
0	0.005016916902
1	0.005013732676
2	0.00500937749
3	0.005005985361
4	0.005002633998
5	0.00499969281
6	0.004997129446
7	0.00499464438
8	0.004991093758
9	0.00498870567
10	0.004986570267
11	0.004981788459
12	0.004980382393
13	0.004977302785
14	0.004976237659
15	0.00497487301
16	0.004972434252
17	0.004969151384
18	0.004965918154
19	0.004961238618
20	0.004958473139
21	0.004956095361
22	0.004954973712
23	0.004950342538
24	0.004947905456
25	0.004945687205
26	0.004942382739
27	0.004940441413
28	0.004937434869
29	0.004935822741
30	0.004932771269
31	0.004930819163
32	0.004927444116
33	0.00492630324
34	0.00492452566
35	0.004923068447
36	0.004921301664
37	0.004919875117
38	0.004918565729
39	0.004917206978
40	0.004915483339
41	0.004910836176
42	0.004906858402
43	0.004904225927
44	0.004901999297
45	0.004899271962
46	0.00489715874
47	0.004894295496
48	0.004891079968
49	0.004889595062
50	0.004887260608
51	0.004886415099
52	0.00488391176
53	0.00488292278
54	0.004881640005
55	0.004879987783
56	0.004878345943
57	0.00487691034
58	0.004876160247
59	0.004875448722
60	0.004872883597
61	0.004871651098
62	0.004869703771
63	0.004868746323
64	0.004867242626
65	0.0048650378
66	0.004862505562
67	0.004861358394
68	0.004859046746
69	0.004857627045
70	0.0048563028
71	0.00485433061
72	0.004853184102
73	0.004849332526
74	0.004846892551
75	0.004845974734
76	0.004844006103
77	0.004841443372
78	0.00483919126
79	0.004837260076
80	0.004835712744
81	0.004834919397
82	0.004832467657
83	0.004830176605
84	0.00482894681
85	0.004828237374
86	0.004826731322
87	0.004825869263
88	0.004825433652
89	0.004824650083
90	0.004823194443
91	0.004820798391
92	0.004818249597
93	0.004815696479
94	0.004812188864
95	0.004811320234
96	0.004809866105
97	0.004806729999
98	0.004806351093
99	0.004804194046
100	0.004802080533
101	0.004800327781
102	0.004798587148
103	0.004797904812
104	0.004797091444
105	0.004795866273
106	0.004795189252
107	0.004792292638
108	0.004790818174
109	0.004789947485
110	0.004787540625
111	0.004785442873
112	0.004784477747
113	0.004781864869
114	0.004779244903
115	0.004777568466
116	0.004776990582
117	0.004775256549
118	0.004774006317
119	0.004772021863
120	0.00477007935
121	0.004769179424
122	0.004768419925
123	0.004766799526
124	0.004764991957
125	0.0047625994
126	0.004760824367
127	0.004759871052
128	0.004759092401
129	0.004757773739
130	0.004756946223
131	0.004755337412
132	0.004753402833
133	0.004749578702
134	0.004748462861
135	0.004745868185
136	0.00474438971
137	0.004743030961
138	0.004741662805
139	0.004741152003
140	0.004739296244
141	0.004737228569
142	0.004734890871
143	0.004734230616
144	0.004732446883
145	0.004731234245
146	0.004729494721
147	0.00472737107
148	0.004724939775
149	0.004723664799
150	0.004722261102
151	0.004720009174
152	0.004717835016
153	0.004715666622
154	0.004713119641
155	0.004710314265
156	0.004709098788
157	0.004708234645
158	0.00470725243
159	0.004705509956
160	0.00470411339
161	0.004702625719
162	0.004700278542
163	0.004699129378
164	0.004697959981
165	0.004695445079
166	0.00469385671
167	0.00469312851
168	0.004692234916
169	0.004690919701
170	0.00469002674
171	0.004688250687
172	0.004687233745
173	0.004685844257
174	0.004684605447
175	0.00468353414
176	0.004682520255
177	0.004681300268
178	0.004679856173
179	0.004678153201
180	0.004676922444
181	0.004674978234
182	0.004672762279
183	0.004671727662
184	0.004670931206
185	0.004669780279
186	0.004668435083
187	0.00466714548
188	0.00466539241
189	0.004664015762
190	0.004662269803
191	0.004660729025
192	0.004658265613
193	0.004657587098
194	0.004656494534
195	0.004655364804
196	0.004654484419
197	0.004652689665
198	0.004651973896
199	0.004650681739
200	0.004648763648
201	0.00464734117
202	0.004646436139
203	0.004645836323
204	0.0046450205
205	0.004642904161
206	0.004641737019
207	0.004640312657
208	0.004638706175
209	0.0046378935
210	0.004637305399
211	0.004635922314
212	0.004634607434
213	0.004633493074
214	0.004632602414
215	0.004631215611
216	0.004629508514
217	0.004628130651
218	0.004625830992
219	0.004625117393
220	0.004623838037
221	0.004621964538
222	0.004620742107
223	0.004619100036
224	0.004616591408
225	0.004615574106
226	0.004613862866
227	0.004612780327
228	0.004612178656
229	0.004610275542
230	0.004608241269
231	0.004607671549
232	0.004605719426
233	0.00460474947
234	0.004602297028
235	0.004601176212
236	0.004599841124
237	0.004598654837
238	0.004597137526
239	0.004595678574
240	0.004595006344
241	0.004593369243
242	0.004591828722
243	0.004590208191
244	0.004589595558
245	0.004588995875
246	0.004588455981
247	0.004586926718
248	0.004586542502
249	0.004586165487
250	0.004585584703
251	0.004585052413
252	0.004584031845
253	0.004583321245
254	0.004582133059
255	0.004581187186
256	0.004579725286
257	0.004579151396
258	0.004577947138
259	0.004576431866
260	0.004573969564
261	0.004572607999
262	0.00456998178
263	0.004569048565
264	0.004568174707
265	0.004567195729
266	0.004565460135
267	0.004564810654
268	0.004564062176
269	0.004563121835
270	0.00456237965
271	0.004561761977
272	0.00456131805
273	0.004560623562
274	0.004559153069
275	0.004557693209
276	0.004556948299
277	0.004555949246
278	0.004554657135
279	0.004553979608
280	0.004552710989
281	0.004552044752
282	0.004550170089
283	0.004549545489
284	0.004548426095
285	0.004547478719
286	0.004546820919
287	0.004546156198
288	0.004545580683
289	0.00454489323
290	0.004544420791
291	0.004543823853
292	0.00454322188
293	0.004542590064
294	0.004541982694
295	0.004541126265
296	0.004540522612
297	0.004539189928
298	0.004536822616
299	0.004536308298
